Postcode,Average net tax,Percentage of total Average Tax paid,Average Salary,Percentage of Total State Income
3000,20458,0.220486776,46100,0.141389102
3002,44063,0.474890449,78594,0.241048483
3003,17485,0.188445169,56817,0.174258234
3004,36287,0.39108435,73999,0.226955578
3006,22507,0.242569942,64965,0.199248221
3008,22530,0.242817825,65288,0.200238865
3010,27860,0.300262077,99443,0.304992547
3011,12864,0.138642188,51863,0.159064273
3012,13052,0.140668364,54306,0.166556975
3013,18141,0.195515231,67399,0.20671332
3015,18748,0.202057194,69510,0.213187776
3016,26502,0.285626187,72497,0.222348931
3018,15550,0.167590643,60152,0.184486708
3019,9041,0.097439678,43286,0.132758539
3020,9338,0.100640606,44577,0.136718047
3021,8679,0.093538211,42816,0.131317045
3022,9581,0.103259546,47364,0.145265801
3023,11775,0.126905454,52699,0.161628292
3024,11129,0.119943168,52221,0.160162262
3025,12679,0.136648345,55345,0.169743597
3026,16984,0.183045625,58642,0.179855525
3027,14214,0.153191858,60114,0.184370162
3028,11315,0.121947789,51376,0.15757064
3029,11311,0.121904679,51648,0.158404866
3030,13818,0.148923955,57230,0.175524909
3031,17139,0.184716143,62341,0.19120039
3032,17989,0.193877046,60897,0.18677163
3033,14490,0.156166457,56101,0.172062256
3034,14326,0.154398942,54162,0.166115326
3036,18716,0.201712313,58101,0.178196273
3037,11868,0.127907765,52856,0.162109812
3038,12862,0.138620633,52911,0.162278498
3039,21119,0.227610725,67164,0.205992573
3040,22210,0.239369014,64905,0.1990642
3041,19050,0.205312009,62468,0.1915899
3042,14090,0.151855444,57661,0.176846789
3043,11946,0.128748413,52449,0.16086154
3044,14606,0.157416651,57672,0.176880526
3046,11401,0.122874657,50550,0.15503729
3047,7823,0.084312643,41449,0.127124444
3048,7806,0.084129425,41250,0.126514109
3049,12209,0.131582904,52873,0.162161952
3051,17434,0.187895515,54613,0.167498547
3052,21095,0.227352065,56061,0.171939575
3053,18408,0.198392833,50254,0.154129456
3054,24618,0.265321314,63655,0.19523044
3055,14866,0.16021881,55541,0.170344731
3056,14870,0.16026192,55835,0.171246431
3057,15206,0.163883171,57065,0.175018852
3058,13637,0.146973221,54493,0.167130506
3059,15102,0.162762308,54475,0.1670753
3060,10524,0.11342276,47095,0.144440775
3061,11539,0.124361957,43170,0.132402766
3062,23184,0.249866332,52738,0.161747905
3063,16698,0.179963251,61406,0.188332737
3064,10419,0.112291119,49203,0.15090603
3065,21996,0.237062622,63186,0.193792012
3066,17676,0.190503678,57849,0.177423387
3067,17889,0.192799293,59692,0.183075884
3068,23594,0.25428512,67653,0.20749234
3070,18602,0.200483674,62887,0.192874977
3071,15282,0.164702264,56492,0.173261456
3072,12879,0.138803851,52329,0.160493499
3073,11112,0.11975995,48494,0.14873152
3074,9304,0.10027417,44064,0.135144672
3075,9316,0.1004035,45532,0.139647041
3076,10217,0.110114058,48190,0.14779915
3078,21793,0.234874783,65050,0.199508917
3079,28293,0.304928749,70829,0.21723316
3081,11170,0.120385047,49212,0.150933633
3082,11052,0.119113298,49780,0.152675694
3083,12188,0.131356576,49287,0.151163658
3084,20203,0.217738505,63691,0.195340852
3085,16069,0.173184182,60555,0.185722713
3087,13256,0.142866981,56350,0.172825941
3088,14492,0.156188012,57597,0.176650501
3089,15646,0.168625286,58492,0.179395474
3090,25220,0.271809389,65915,0.202161879
3091,28087,0.302708577,56067,0.171957977
3093,25573,0.275613859,64124,0.196668867
3094,14650,0.157890863,58089,0.178159469
3095,18927,0.203986372,62009,0.190182143
3096,15462,0.16664222,51993,0.159462984
3097,23688,0.255298208,65162,0.199852422
3099,15982,0.172246537,53876,0.165238161
3101,40110,0.43228686,75920,0.232847301
3102,26556,0.286208174,71402,0.218990556
3103,33969,0.366102028,70912,0.217487722
3104,24878,0.268123473,65778,0.201741699
3105,17950,0.193456722,59447,0.182324467
3106,25025,0.26970777,62148,0.190608457
3107,17350,0.186990202,58869,0.180551736
3108,16127,0.173809279,53870,0.165219759
3109,15835,0.17066224,56006,0.17177089
3111,22044,0.237579944,61948,0.189995056
3113,22477,0.242246616,63925,0.196058532
3114,33787,0.364140517,75066,0.230228076
3115,28014,0.301921817,62896,0.19290258
3116,13709,0.147749204,52760,0.16181538
3121,22848,0.24624508,69668,0.213672363
3122,36514,0.39353085,72936,0.223695347
3123,34618,0.373096647,74284,0.227829675
3124,34686,0.373829519,79065,0.242493044
3125,17173,0.185082579,54188,0.166195068
3126,54251,0.584691958,88732,0.272141817
3127,30100,0.324403752,75335,0.231053101
3128,15733,0.169562931,53833,0.16510628
3129,17855,0.192432857,58747,0.180177561
3130,17976,0.193736938,60611,0.185894465
3131,13960,0.150454365,55353,0.169768133
3132,15362,0.165564466,58416,0.179162381
3133,16541,0.178271178,56668,0.17380125
3134,15490,0.166943991,56111,0.172092926
3135,14097,0.151930887,55887,0.171405916
3136,13380,0.144203395,53874,0.165232027
3137,12060,0.129977051,50052,0.15350992
3138,11904,0.128295756,51083,0.156672006
3139,12020,0.12954595,47224,0.144836419
3140,13430,0.144742272,51169,0.156935769
3141,38258,0.412326868,74971,0.22993671
3142,76598,0.825537494,87216,0.267492232
3143,39149,0.421929651,77491,0.237665572
3144,51062,0.550322405,87590,0.268639293
3145,32164,0.346648581,73229,0.224593981
3146,31675,0.341378367,77269,0.236984696
3147,24328,0.26219583,68153,0.209025845
3148,16738,0.180394352,53671,0.164609425
3149,18075,0.194803914,59540,0.182609699
3150,17920,0.193133396,57088,0.175089393
3151,13997,0.150853133,52931,0.162339838
3152,14114,0.152114105,54638,0.167575222
3153,11230,0.121031699,50170,0.153871827
3154,12113,0.130548261,52499,0.16101489
3155,11200,0.120708373,50157,0.153831956
3156,13508,0.14558292,53239,0.163284477
3158,12751,0.137424327,53764,0.164894656
3159,13480,0.145281149,55023,0.16875602
3160,15729,0.169519821,53687,0.164658497
3161,31818,0.342919554,65245,0.200106983
3162,25018,0.269632328,64565,0.198021417
3163,16938,0.182549859,60406,0.185265728
3165,16271,0.175361244,61413,0.188354206
3166,14586,0.1572011,56414,0.173022229
3167,13377,0.144171063,54398,0.16683914
3168,10968,0.118207985,43654,0.133887198
3169,10085,0.108691423,46232,0.141793947
3170,14068,0.151618338,54023,0.165689012
3171,8458,0.091156377,40730,0.124919265
3172,11478,0.123704527,48115,0.147569124
3173,11249,0.121236472,50080,0.153595796
3174,8682,0.093570544,43434,0.133212456
3175,9241,0.099595185,43657,0.133896399
3177,7804,0.08410787,41824,0.128274572
3178,13932,0.150152594,55362,0.169795736
3179,12658,0.136422016,51405,0.157659583
3180,12408,0.133727633,51538,0.158067495
3181,21615,0.232956382,67188,0.206066181
3182,21124,0.227664613,59933,0.183815033
3183,18285,0.197067196,58797,0.180330911
3184,23761,0.256084968,70332,0.215708857
3185,26514,0.285755517,70283,0.215558573
3186,52828,0.569355528,92895,0.284909774
3187,30387,0.327496904,79901,0.245057063
3188,33820,0.364496176,80182,0.245918893
3189,15376,0.165715352,58028,0.177972382
3190,17466,0.188240396,64476,0.197748454
3191,34333,0.37002505,81812,0.250918117
3192,16112,0.173647616,59252,0.1817264
3193,30415,0.327798675,77739,0.23842619
3194,17567,0.189328927,61399,0.188311268
3195,17241,0.185815451,61481,0.188562763
3196,13597,0.14654212,56793,0.174184626
3197,16788,0.180933229,57974,0.177806763
3198,11090,0.119522844,50876,0.156037135
3199,12300,0.132563659,50340,0.154393219
3200,7988,0.086090936,42123,0.129191608
3201,9860,0.106266478,48477,0.148679381
3202,15838,0.170694572,61826,0.189620881
3204,20377,0.219613796,65570,0.201103761
3205,28883,0.311287494,75530,0.231651168
3206,53940,0.581340145,99057,0.303808682
3207,31905,0.343857199,84823,0.26015288
3211,16359,0.176309667,59986,0.183977585
3212,13640,0.147005554,53248,0.16331208
3214,8731,0.094098643,42480,0.13028653
3215,12410,0.133749188,49961,0.153230822
3216,14000,0.150885466,51750,0.158717701
3217,12346,0.133059426,53425,0.16385494
3218,13982,0.15069147,54131,0.166020249
3219,10742,0.115772263,46765,0.143428662
3220,21656,0.233398261,57826,0.177352846
3221,17820,0.192055643,55678,0.170764911
3222,15336,0.16528425,48446,0.148584304
3223,12504,0.134762276,46389,0.142275467
3224,12188,0.131356576,49626,0.152203374
3225,20460,0.220508331,50468,0.154785796
3226,13823,0.148977843,51701,0.158567417
3227,20250,0.218245049,58918,0.180702019
3228,18695,0.201485985,56059,0.171933441
3230,12973,0.139816939,46635,0.143029951
3231,17048,0.183735387,49920,0.153105075
3232,13629,0.146887001,39288,0.120496638
3233,9075,0.097806115,36263,0.111218937
3235,10457,0.112700666,44283,0.135816347
3236,9327,0.100522053,45382,0.139186989
3237,7665,0.082609793,28523,0.087480289
3238,7642,0.082361909,38946,0.119447721
3239,11330,0.122109452,47277,0.144998971
3240,14009,0.150982464,51348,0.157484763
3241,10850,0.116936236,45995,0.141067066
3242,10528,0.11346587,40816,0.125183028
3243,30507,0.328790208,42144,0.129256015
3249,10805,0.116451247,43901,0.134644749
3250,10320,0.111224143,44455,0.136343872
3251,9777,0.105371943,45606,0.139873999
3254,9350,0.100769936,43169,0.132399699
3260,10519,0.113368873,43273,0.132718668
3264,11803,0.127207225,43270,0.132709467
3265,12560,0.135365818,40568,0.124422409
3266,10600,0.114241853,42169,0.12933269
3267,8870,0.09559672,34587,0.10607863
3268,14725,0.158699178,41985,0.128768361
3269,15894,0.171298114,46291,0.1419749
3270,13633,0.146930111,46810,0.143566678
3272,9669,0.104207969,38024,0.116619939
3273,9354,0.100813046,39306,0.120551844
3274,9115,0.098237216,35504,0.108891077
3275,9793,0.105544383,44707,0.137116758
3276,10666,0.11495317,42317,0.129786608
3277,18515,0.199546029,45880,0.14071436
3278,12026,0.129610615,42600,0.130654571
3280,12357,0.133177979,45022,0.138082866
3281,11777,0.126927009,48291,0.148108918
3282,9988,0.107646002,44658,0.136966475
3283,12169,0.131151803,44011,0.13498212
3284,13777,0.148482076,46395,0.142293869
3285,12295,0.132509772,46669,0.14313423
3286,10808,0.11648358,38406,0.117791537
3287,8437,0.090930048,35465,0.108771464
3289,9634,0.103830756,40021,0.122744756
3292,9636,0.103852311,30961,0.094957657
3293,8735,0.094141753,35556,0.109050562
3294,9752,0.105102505,37183,0.114040585
3300,10690,0.115211831,43727,0.13411109
3301,9477,0.102138683,42299,0.129731401
3302,9826,0.105900042,37608,0.115344064
3303,12000,0.129330399,42700,0.130961272
3304,10711,0.115438159,45772,0.140383123
3305,13557,0.146111019,51910,0.159208422
3309,7373,0.079462753,29682,0.091034953
3310,7891,0.085045515,37797,0.115923728
3311,8427,0.090822273,40820,0.125195296
3312,8094,0.087233354,37349,0.114549708
3314,12891,0.138933182,35864,0.1099952
3315,9758,0.10516717,38694,0.118674835
3317,10177,0.109682956,41388,0.126937357
3318,9729,0.104854621,39890,0.122342978
3319,8735,0.094141753,37645,0.115457543
3321,13554,0.146078686,53272,0.163385688
3324,11038,0.118962412,37169,0.113997647
3325,11538,0.124351179,40656,0.124692306
3328,12240,0.131917007,53453,0.163940817
3329,9670,0.104218747,41028,0.125833233
3330,8027,0.08651126,38490,0.118049165
3331,13446,0.144914713,53148,0.163005379
3332,10944,0.117949324,47196,0.144750543
3333,12465,0.134341952,48505,0.148765258
3334,11514,0.124092518,45313,0.138975366
3335,11054,0.119134853,53288,0.16343476
3337,10788,0.116268029,49671,0.15234139
3338,11021,0.118779194,51298,0.157331413
3340,13317,0.143524411,54969,0.168590402
3341,14961,0.161242675,57536,0.176463413
3342,12696,0.136831563,52990,0.162520792
3345,13641,0.147016332,55368,0.169814138
3350,13480,0.145281149,50132,0.153755281
3351,10580,0.114026302,46280,0.141941163
3352,12488,0.134589836,49161,0.150777215
3355,10866,0.117108677,45336,0.139045907
3356,8370,0.090207954,44030,0.135040394
3357,15353,0.165467469,53802,0.165011203
3360,9291,0.100134062,41692,0.127869727
3361,8911,0.096038599,36909,0.113200225
3363,10688,0.115190276,44688,0.137058485
3364,12730,0.137197999,46920,0.143904049
3370,8642,0.093139443,41725,0.127970938
3371,8868,0.095575165,39448,0.12098736
3373,9273,0.099940066,43752,0.134187765
3374,10748,0.115836928,49318,0.151258736
3375,11263,0.121387357,39054,0.119778958
3377,10134,0.109219522,44829,0.137490934
3378,10729,0.115632155,30922,0.094838043
3379,15149,0.163268852,32520,0.099739123
3380,10734,0.115686042,46287,0.141962632
3381,10697,0.115287274,45309,0.138963098
3384,8334,0.089819962,36378,0.111571643
3385,11875,0.127983208,37927,0.116322439
3387,7408,0.079839967,35196,0.107946439
3388,14934,0.160951682,39192,0.120202205
3390,11815,0.127336556,40998,0.125741223
3391,17021,0.183444394,57005,0.174834832
3392,12181,0.131281133,31960,0.098021598
3393,12118,0.130602148,39326,0.120613185
3395,13800,0.148729959,31618,0.096972681
3396,11931,0.12858675,35662,0.109375665
3400,10775,0.116127921,43894,0.13462328
3401,11859,0.127810767,42283,0.129682329
3407,9239,0.09957363,38568,0.118288392
3409,11680,0.125881589,38336,0.117576846
3412,11228,0.121010144,40518,0.124269059
3413,9543,0.10285,34010,0.104308966
3414,11229,0.121020921,48159,0.147704073
3418,11136,0.120018611,39212,0.120263546
3419,12010,0.129438175,39306,0.120551844
3420,11748,0.126614461,30124,0.09239057
3423,9299,0.100220282,43898,0.134635548
3424,11162,0.120298827,35946,0.110246695
3427,13273,0.143050199,50418,0.154632445
3428,16170,0.174272713,51331,0.157432624
3429,13039,0.140528256,54669,0.167670299
3430,21082,0.227211957,55654,0.170691303
3431,14294,0.154054061,58107,0.178214675
3433,21179,0.228257377,61008,0.187112067
3434,14785,0.15934583,55014,0.168728417
3435,14338,0.154528272,52500,0.161017957
3437,17598,0.189663031,62034,0.190258818
3438,17645,0.190169575,61882,0.189792633
3440,21223,0.228731589,64211,0.196935696
3441,28016,0.301943372,71651,0.219754241
3442,18472,0.199082595,61559,0.188801989
3444,14766,0.159141056,50334,0.154374816
3446,10222,0.110167945,46176,0.141622194
3447,11153,0.120201829,44614,0.136831527
3448,12217,0.131669124,45765,0.140361654
3450,11120,0.11984617,44429,0.13626413
3451,10866,0.117108677,44059,0.135129337
3453,12811,0.138070979,45532,0.139647041
3458,13535,0.145873913,53183,0.163112724
3460,13217,0.142446657,47504,0.145695182
3461,11516,0.124114073,44545,0.136619903
3462,8996,0.096954689,43906,0.134660084
3463,9988,0.107646002,43953,0.134804234
3464,9071,0.097763004,42458,0.130219056
3465,8382,0.090337284,39968,0.122582204
3467,9703,0.104574405,39568,0.121355401
3468,7526,0.081111715,40570,0.124428543
3469,8957,0.096534366,43796,0.134322714
3472,8366,0.090164843,38010,0.116577001
3475,7186,0.077447354,33926,0.104051338
3477,9767,0.105264168,31798,0.097524743
3478,9254,0.099735293,40225,0.123370425
3480,9763,0.105221057,38274,0.117386691
3482,11069,0.119296516,34818,0.106787109
3483,8956,0.096523588,39792,0.122042411
3485,7950,0.08568139,35327,0.108348217
3490,10510,0.113271875,41382,0.126918955
3491,9634,0.103830756,32864,0.100794174
3494,7466,0.080465063,36962,0.113362776
3496,9212,0.099282637,41516,0.127329934
3498,11394,0.122799214,46522,0.142683379
3500,10540,0.113595201,44675,0.137018614
3501,10914,0.117625998,46565,0.142815261
3505,9482,0.102192571,42474,0.130268128
3507,9839,0.10604015,28133,0.086284156
3509,9842,0.106072483,32965,0.101103942
3512,10251,0.110480494,38775,0.118923263
3515,10974,0.11827265,47564,0.145879202
3516,10070,0.10852976,41624,0.127661171
3517,9147,0.098582097,40893,0.125419187
3518,9934,0.107064016,38262,0.117349887
3521,9712,0.104671403,48447,0.148587371
3522,12095,0.130354265,50012,0.15338724
3523,10720,0.115535157,44497,0.136472687
3525,8571,0.092374238,37363,0.114592646
3527,9626,0.103744535,38207,0.117181202
3530,11212,0.120837703,39016,0.119662412
3531,9656,0.104067861,36548,0.112093034
3533,10204,0.10997395,38408,0.117797671
3537,9259,0.099789181,38359,0.117647387
3540,11659,0.125655261,32727,0.100373994
3542,7419,0.079958519,28154,0.086348563
3544,9681,0.1043373,34541,0.105937548
3546,9522,0.102623672,38655,0.118555222
3549,9887,0.106557472,37059,0.113660276
3550,12599,0.135786142,47497,0.145673713
3551,13172,0.141961668,51274,0.157257805
3555,9643,0.103927753,45172,0.138542918
3556,8916,0.096092487,43255,0.132663462
3557,10643,0.114705287,44226,0.135641527
3558,10483,0.112980881,41729,0.127983207
3559,10104,0.108896196,41462,0.127164315
3561,11039,0.11897319,44747,0.137239439
3562,10858,0.117022456,42614,0.130697509
3563,9284,0.100058619,38560,0.118263856
3564,11148,0.120147941,45521,0.139613304
3566,9363,0.100910044,40293,0.123578982
3567,7976,0.085961605,41221,0.126425166
3568,10379,0.111860018,42520,0.13040921
3570,9486,0.102235681,42993,0.131859906
3571,7666,0.08262057,35827,0.109881721
3572,11328,0.122087897,49618,0.152178838
3573,8316,0.089625967,35663,0.109378732
3575,8321,0.089679854,36910,0.113203292
3579,8823,0.095090176,39789,0.12203321
3580,7577,0.08166137,39491,0.121119241
3581,9264,0.099843068,35182,0.1079035
3584,9263,0.099832291,43133,0.132289287
3585,11301,0.121796904,42126,0.129200809
3586,9120,0.098291104,43142,0.13231689
3588,7139,0.07694081,37290,0.114368755
3589,13831,0.149064063,34410,0.10553577
3590,9870,0.106374254,36801,0.112868988
3591,9680,0.104326522,46912,0.143879513
3594,7860,0.084711412,36153,0.110881566
3595,7223,0.077846123,34954,0.107204223
3596,17959,0.19355372,41632,0.127685707
3597,9234,0.099519742,40499,0.124210786
3608,10592,0.114155633,46406,0.142327606
3610,8504,0.091652143,42267,0.129633257
3612,8946,0.096415813,42348,0.129881685
3614,12782,0.13775843,48969,0.15018835
3616,11607,0.125094829,46890,0.143812038
3617,9169,0.098819203,42153,0.129283618
3618,8230,0.088699099,41490,0.127250191
3620,10144,0.109327298,44140,0.135377765
3621,8616,0.092859227,43496,0.133402611
3622,11670,0.125773813,42627,0.13073738
3623,8712,0.09389387,42286,0.12969153
3624,7293,0.07860055,42243,0.129559649
3629,9289,0.100112507,42912,0.131611478
3630,10683,0.115136388,43608,0.133746116
3631,13241,0.142705318,48503,0.148759124
3633,10059,0.108411207,43702,0.134034415
3634,9475,0.102117128,44334,0.135972764
3635,8182,0.088181777,43546,0.133555961
3636,9287,0.100090952,44029,0.135037327
3637,7909,0.085239511,41151,0.126210475
3638,11160,0.120277271,43559,0.133595832
3639,7795,0.084010872,40137,0.123100529
3640,10123,0.109100969,40318,0.123655657
3641,8915,0.096081709,44765,0.137294645
3644,10443,0.11254978,44645,0.136926604
3646,10093,0.108777643,47392,0.145351677
3649,9404,0.101351923,39340,0.120656123
3658,11595,0.124965498,50111,0.153690874
3659,21806,0.235014891,46670,0.143137297
3660,10391,0.111989348,44928,0.137794567
3662,14371,0.154883931,64265,0.197101315
3663,8926,0.096200262,42545,0.130485886
3664,11602,0.125040941,46088,0.141352298
3666,10524,0.11342276,42698,0.130955138
3669,10820,0.11661291,43348,0.132948694
3670,10354,0.11159058,42660,0.130838592
3672,10282,0.110814597,44132,0.135353228
3673,10961,0.118132542,44633,0.1368898
3675,10259,0.110566714,45175,0.138552119
3677,10761,0.115977036,44571,0.136699645
3678,12555,0.13531193,46364,0.142198792
3682,10980,0.118337315,44166,0.135457507
3683,10111,0.108971639,49202,0.150902963
3685,11171,0.120395824,46562,0.14280606
3687,12389,0.13352286,50920,0.156172084
3688,11604,0.125062496,52006,0.159502855
3690,11291,0.121689128,48890,0.149946056
3691,13020,0.140323483,51382,0.157589042
3694,7450,0.080292623,47171,0.144673868
3695,11463,0.123542864,44975,0.137938717
3697,10830,0.116720685,45761,0.140349386
3698,11486,0.123790747,43693,0.134006812
3699,8721,0.093990868,38550,0.118233186
3700,9371,0.100996264,43957,0.134816502
3701,11405,0.122917767,41061,0.125934445
3705,8749,0.094292639,38973,0.119530531
3707,9543,0.10285,43045,0.13201939
3709,8673,0.093473546,36892,0.113148085
3711,10572,0.113940082,46036,0.141192813
3712,10381,0.111881573,44292,0.13584395
3713,7804,0.08410787,39065,0.119812695
3714,11091,0.119533622,43359,0.132982431
3715,10212,0.11006017,43088,0.132151271
3717,11577,0.124771503,43980,0.134887043
3719,11367,0.122508221,43462,0.133298333
3720,9269,0.099896956,43194,0.132476374
3722,10693,0.115244163,40996,0.125735089
3723,10379,0.111860018,41078,0.125986584
3725,12053,0.129901609,43216,0.132543848
3726,9573,0.103173326,32863,0.100791107
3727,7082,0.076326491,36045,0.110550329
3728,8426,0.090811495,40261,0.123480838
3730,11664,0.125709148,44640,0.136911269
3732,10053,0.108346542,41136,0.12616447
3733,8057,0.086834586,40229,0.123382693
3735,9411,0.101427366,40749,0.124977538
3737,10536,0.113552091,44814,0.137444928
3739,11591,0.124922388,36024,0.110485922
3740,9803,0.105652159,40606,0.124538956
3741,10646,0.114737619,41917,0.128559804
3744,10399,0.112075569,38546,0.118220918
3746,10278,0.110771487,45317,0.138987634
3747,12057,0.129944719,46276,0.141928895
3749,14045,0.151370455,49724,0.152503941
3750,10949,0.118003212,51932,0.159275896
3751,20706,0.223159604,44186,0.135518847
3752,11767,0.126819234,53332,0.163569709
3753,12376,0.133382752,56102,0.172065323
3754,12853,0.138523635,55000,0.168685479
3755,11264,0.121398135,48361,0.148323608
3756,12036,0.129718391,53010,0.162582132
3757,13010,0.140215708,52058,0.15966234
3758,11763,0.126776124,53122,0.162925637
3759,17332,0.186796207,53491,0.164057363
3760,14115,0.152124882,56509,0.173313595
3761,15394,0.165909347,51795,0.158855716
3763,11047,0.11905941,49630,0.152215642
3764,12748,0.137391994,52554,0.161183576
3765,14697,0.158397407,53194,0.163146461
3766,14529,0.156586781,55458,0.170090169
3767,13592,0.146488232,55120,0.16905352
3770,19646,0.211735419,50169,0.15386876
3775,15502,0.167073321,52755,0.161800045
3777,11485,0.12377997,47848,0.146750233
3778,6977,0.07519485,37477,0.114942285
3779,7169,0.077264136,31755,0.097392862
3781,12364,0.133253422,52494,0.160999555
3782,14551,0.156823887,53273,0.163388755
3783,12960,0.139676831,52610,0.161355328
3786,17450,0.188067956,63312,0.194178456
3787,15206,0.163883171,57278,0.175672125
3788,17153,0.184867028,58708,0.180057947
3789,16498,0.177807744,60442,0.185376141
3791,14419,0.155401252,57823,0.177343645
3792,15323,0.165144143,59181,0.181508643
3793,11119,0.119835393,47749,0.146446599
3795,13124,0.141444347,43988,0.134911579
3796,11711,0.126215692,50357,0.154445358
3797,10673,0.115028613,45738,0.140278844
3799,9021,0.097224128,42856,0.131439725
3800,18500,0.199384366,43715,0.134074286
3802,10717,0.115502824,49067,0.150488916
3803,9716,0.104714513,46374,0.142229462
3804,18797,0.202585293,54093,0.165903702
3805,11165,0.120331159,50526,0.154963682
3806,15593,0.168054076,56313,0.172712462
3807,16343,0.176137226,56541,0.17341174
3808,19995,0.215496778,56219,0.172424163
3809,13081,0.140980913,53513,0.164124837
3810,10810,0.116505135,49378,0.151442756
3812,13259,0.142899314,49677,0.152359792
3813,11764,0.126786902,50894,0.156092341
3814,11186,0.120557487,49299,0.151200462
3815,12902,0.139051734,50028,0.153436312
3816,10650,0.114780729,46913,0.14388258
3818,11020,0.118768417,47637,0.146103094
3820,13204,0.142306549,50181,0.153905564
3821,13940,0.150238814,49867,0.152942523
3822,12456,0.134244955,49979,0.153286028
3823,14490,0.156166457,52352,0.16056404
3824,14537,0.156673001,54459,0.167026227
3825,13422,0.144656052,53513,0.164124837
3831,13120,0.141401237,48862,0.14986018
3832,10458,0.112711443,40166,0.123189472
3833,8148,0.087815341,43929,0.134730626
3835,13689,0.147533653,45981,0.141024128
3840,13303,0.143373525,53355,0.16364025
3842,13027,0.140398926,52923,0.162315302
3844,15879,0.171136451,60247,0.184778074
3847,11568,0.124674505,53909,0.165339373
3850,15430,0.166297339,56979,0.174755089
3851,15899,0.171352002,56971,0.174730553
3854,19320,0.208221943,65255,0.200137653
3856,17239,0.185793896,61512,0.18865784
3857,13224,0.1425221,51068,0.156626001
3858,11531,0.124275736,50260,0.154147858
3859,12256,0.132089448,49902,0.153049869
3860,12686,0.136723787,52210,0.160128525
3862,13205,0.142317327,54528,0.167237851
3864,8895,0.095866159,41691,0.12786666
3865,9771,0.105307278,46608,0.142947142
3869,16406,0.176816211,60498,0.185547893
3870,12450,0.134180289,53429,0.163867208
3871,12841,0.138394305,50719,0.155555615
3873,12854,0.138534413,53519,0.164143239
3874,58933,0.635152369,48554,0.148915541
3875,10441,0.112528225,45300,0.138935495
3878,12936,0.139418171,45170,0.138536784
3880,11621,0.125245714,43265,0.132694132
3882,10731,0.11565371,45258,0.13880668
3885,8843,0.095305727,42625,0.130731246
3886,11928,0.128554417,47379,0.145311806
3887,6978,0.075205627,40945,0.125578672
3888,11119,0.119835393,43416,0.13315725
3889,6540,0.070485068,30403,0.093246266
3890,11859,0.127810767,45727,0.140245107
3891,19371,0.208771597,45798,0.140462865
3892,10252,0.110491271,36619,0.112310792
3895,9315,0.100392723,36802,0.112872055
3896,10597,0.11420952,42548,0.130495087
3898,8734,0.094130976,40709,0.124854858
3900,8751,0.094314194,36139,0.110838628
3902,11431,0.123197983,46804,0.143548276
3903,11767,0.126819234,45443,0.139374077
3904,12991,0.140010935,43856,0.134506734
3909,10467,0.112808441,43436,0.13321859
3910,12090,0.130300377,52032,0.159582597
3911,13143,0.14164912,47783,0.146550877
3912,12647,0.136303463,50188,0.153927033
3913,13835,0.149107173,51122,0.156791619
3915,10965,0.118175652,47081,0.144397837
3916,25517,0.275010317,57581,0.176601429
3918,12178,0.1312488,50510,0.15491461
3919,9128,0.098377324,46844,0.143670956
3920,8734,0.094130976,47586,0.145946677
3921,8944,0.096394258,32235,0.098865026
3922,10720,0.115535157,42122,0.129188541
3923,15473,0.166760772,41921,0.128572072
3925,10423,0.112334229,44831,0.137497068
3926,18308,0.197315079,53145,0.162996178
3927,16002,0.172462088,51823,0.158941592
3928,52864,0.569743519,72407,0.2220729
3929,36866,0.397324542,64907,0.199070334
3930,26561,0.286262062,65447,0.200726519
3931,15028,0.16196477,52491,0.160990354
3933,19871,0.214160364,53129,0.162947106
3934,18036,0.19438359,57556,0.176524753
3936,13696,0.147609096,49300,0.151203529
3937,24384,0.262799372,58096,0.178180938
3938,13412,0.144548276,48508,0.148774459
3939,10747,0.11582615,44775,0.137325315
3940,10728,0.115621377,42537,0.13046135
3941,10830,0.116720685,44032,0.135046528
3942,16984,0.183045625,46556,0.142787658
3943,25241,0.272035718,49973,0.153267626
3944,67601,0.728572027,60234,0.184738203
3945,13182,0.142069444,46075,0.141312426
3950,11049,0.119080965,46042,0.141211215
3951,10007,0.107850776,44073,0.135172275
3953,11764,0.126786902,46355,0.142171189
3954,16258,0.175221136,47019,0.144207683
3956,10572,0.113940082,41147,0.126198207
3957,8807,0.094917736,43672,0.133942404
3958,9125,0.098344991,37091,0.11375842
3959,11744,0.126571351,39612,0.121490349
3960,11499,0.123930855,45024,0.138089
3962,9686,0.104391187,43182,0.13243957
3965,7720,0.083202557,40443,0.124039033
3966,12948,0.139547501,43889,0.134607945
3971,11051,0.11910252,47533,0.145784125
3975,11419,0.123068653,53758,0.164876254
3976,9110,0.098183328,45133,0.138423304
3977,10883,0.117291895,50576,0.155117033
3978,11967,0.128974741,53808,0.165029605
3979,7631,0.082243356,39958,0.122551534
3980,11341,0.122228005,50666,0.155393063
3981,11672,0.125795368,47770,0.146511006
3984,10642,0.114694509,45892,0.140751164
3987,10966,0.11818643,49163,0.150783349
3988,11431,0.123197983,44662,0.136978743
3991,7044,0.075916944,41179,0.126296352
3992,8582,0.092492791,41501,0.127283929
3995,13949,0.150335812,41759,0.128075217
3996,14043,0.1513489,48423,0.148513763
,9278561,,32605059,
